License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 01 2018,8002386,Charley,Dog,"Retriever, Labrador","Mixed Breed, Large (over 44 lbs fully grown)",98125
December 23 2018,S125337,Sydney,Dog,Border Collie,Spaniel,98121
November 29 2018,S137020,Inky,Dog,Terrier,Japanese Chin,98199
December 03 2018,889776,Zeke,Dog,Border Collie,,98107
December 03 2018,8003479,Buster,Dog,Border Collie,Hound,98106
December 04 2018,S126824,Rosie,Dog,Bulldog,,98117
October 30 2018,S136966,Gremlie,Dog,Pomeranian,Papillon,98177
December 16 2018,957405,Gwen,Dog,Australian Shepherd,Brittany,98106
November 26 2018,S141436,Roger,Dog,"Terrier, Yorkshire",Mix,98107
December 11 2018,S152271,Griffey,Dog,"Retriever, Golden",,98115
October 28 2018,8002265,Snoopy,Dog,"Pointer, German Shorthaired",Mix,98177
December 23 2018,8004095,Ritter,Dog,"Poodle, Standard",,98112
November 24 2018,833466,Judy,Dog,"Chihuahua, Short Coat",,98117
November 01 2018,835333,Kiki,Dog,"Terrier, Boston",,98144
December 04 2018,904425,Bart,Dog,Greyhound,,98118
November 19 2018,S105805,George,Dog,"Dachshund, Miniature Smooth Haired",,98144
October 20 2018,827664,Whiskers,Dog,Havanese,,98133
October 31 2018,827069,Bella,Dog,"Terrier, Yorkshire",,98115
November 10 2018,904464,Buddy,Dog,"Poodle, Miniature","Schnauzer, Miniature",98126
December 07 2018,S137458,Prof. Kepler McSmartyPants Locke,Dog,"Australian Shepherd, Miniature",,98115
November 14 2018,904083,Momo,Dog,Siberian Husky,,98103
November 30 2018,8003386,Ollie,Dog,Shetland Sheepdog,,98118
November 25 2018,904780,Autumn,Dog,Australian Shepherd,"Dachshund, Standard Long Haired",98117
October 27 2018,S137402,Elton,Dog,"Retriever, Labrador",,98119
October 25 2018,S123972,Pip,Dog,Basenji,"Welsh Corgi, Cardigan",98118
December 14 2018,959914,Fergi,Dog,Terrier,,98125
December 21 2018,8004047,Boobafina,Dog,"Retriever, Labrador",,98119
November 09 2018,901930,Milo,Dog,"Retriever, Labrador","Poodle, Standard",98133
December 29 2018,S148240,Susie,Dog,"Welsh Corgi, Cardigan",,98107
December 29 2018,960648,Mikey,Dog,"Retriever, Labrador",Border Collie,98126
November 19 2018,8002990,Ernie,Dog,"Poodle, Standard",,98126
October 25 2018,8002195,Elsie,Dog,"Retriever, Labrador",Mix,98122
November 02 2018,8002396,Abby,Dog,"Terrier, American Pit Bull",Mix,98107
December 28 2018,8004177,Milo,Dog,Border Collie,Rhodesian Ridgeback,98103
December 11 2018,S124145,Delilah,Dog,"Welsh Corgi, Cardigan",,98199
November 28 2018,8003318,Gaspode,Dog,Greyhound,,98118
December 16 2018,S151174,Atlas,Dog,"Retriever, Labrador",Mix,98103
November 28 2018,8003307,Bea,Dog,"Poodle, Standard",,98116
November 19 2018,8002954,Amber,Dog,"Retriever, Golden",,98106
December 15 2018,S122071,Daisy,Dog,"Poodle, Standard","Retriever, Labrador",98115
December 28 2018,S115566,Bruges,Dog,Boxer,,98125
December 11 2018,S144727,Gracie,Dog,"Terrier, American Staffordshire","Terrier, American Pit Bull",98101
December 15 2018,960541,Sophie,Dog,Bichon Frise,"Poodle, Miniature",98103
November 24 2018,S121803,Gillian,Dog,"Pointer, German Shorthaired",,98117
November 29 2018,904900,Cooper,Dog,"Retriever, Labrador",Border Collie,98117
December 23 2018,S124684,Bentley 2,Dog,"Chihuahua, Long Coat",Mix,98146
November 18 2018,279902,Molly,Dog,"Spaniel, Cavalier King Charles",,98144
December 19 2018,956886,Romeo,Dog,Maltese,,98199
October 27 2018,726475,LuluBelle,Dog,"Bulldog, French",,98118
November 01 2018,8002379,Luna,Dog,Siberian Husky,Mix,98112
December 21 2018,904949,Fletcher,Dog,Shih Tzu,Mix,98136
December 24 2018,S124635,Blinky,Dog,"Chihuahua, Short Coat",,98103
December 07 2018,S127100,Ruby,Dog,"Retriever, Labrador",,98103
December 01 2018,8003418,Chloe,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98122
November 09 2018,831952,Charlie,Dog,"Dachshund, Miniature Smooth Haired",,98109
December 13 2018,8003820,Emma,Dog,"Australian Shepherd, Miniature",,98116
