Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15641,Lilo,Desexed/Microchipped,Maltese,White & Black,F,Y,SEMAPHORE,14641
15642,Snowy,Desexed/Microchipped/Obedience,West Highland Terrier,White,F,Y,SEMAPHORE,14642
15643,Pepper,Desexed/Concession/Microchipped,Moodle,Apricot,M,Y,DRY CREEK,14643
15644,Zoe,Desexed/Microchipped,Border Collie,Black & White & Brindle,F,Y,ENFIELD,14644
15645,Ella,Desexed/Microchipped,Maltese,Apricot & White,F,Y,ENFIELD,14645
15646,Macy,Standard,Kelpie,Black,F,N,ENFIELD,14646
15647,Betsy,Desexed/Microchipped,Maltese,White & Tan,F,Y,KLEMZIG,14647
15648,Gracie,Desexed/Microchipped,Shih Tzu,White & Tan,F,Y,KLEMZIG,14648
15649,Mason,Desexed/Microchipped,Maltese,White,M,Y,ETHELTON,14649
15650,Dallah,Desexed/Microchipped,Shih Tzu,Tri Colour,F,Y,TAPEROO,14650
15651,Sassy,Desexed/Concession/Microchipped,Kelpie,Gold & Brown,F,Y,ENFIELD,14651
15652,Topaz,Desexed/Concession/Microchipped,Maltese,White,M,Y,HAMPSTEAD GARDENS,14652
15653,Seymour,Desexed/Microchipped,Labrador,Black,M,Y,GREENACRES,14653
15654,Luna,Desexed/Microchipped/Obedience,Weimaraner,Silver,F,Y,GREENACRES,14654
15655,Oreo,Desexed/Microchipped/Obedience,Dalmation,White & Black,M,Y,GREENACRES,14655
15656,Aisha,Standard,German Shepherd,White,F,N,HILLCREST,14656
15657,Aussie,Desexed/Pension/Microchipped,Kelpie,Red & White,M,Y,ROSEWATER,14657
15658,Roxy,Desexed/Pension/Microchipped,Red Heeler,Red,F,Y,ROSEWATER,14658
15659,Keesha,Desexed/Microchipped/Obedience,Border Collie,Honey & White,F,Y,KILBURN,14659
15660,Ruby,Desexed/Microchipped/Obedience,Cavalier King Charles Spaniel,Red & White,F,Y,TAPEROO,14660
15661,MAXINE,Guide Dog,Labrador,Black,F,N,DEVON PARK,14661
15662,SYD,Microchipped,Manchester Terrier,Black & Tan,M,N,NORTH HAVEN,14662
15663,Buddy,Desexed/Pension/Microchipped,Maltese Terrier,White,M,Y,NORTHFIELD,14663
15664,Diesel,Desexed/Microchipped,Great Dane,White & Tan,M,Y,HILLCREST,14664
15665,Tiger,Desexed/Microchipped,Staffordshire Bull Terrier,Brindle,M,Y,BROADVIEW,14665
15666,Deise,Desexed/Microchipped,Labrador,Black,M,Y,TAPEROO,14666
15667,Thorin Oaksheid,Desexed/Microchipped,Shih Tzu,Black & Grey,M,Y,TAPEROO,14667
15668,Tuppence,Desexed/Pension/Microchipped,Chihuahua,Black & Brown,M,Y,OSBORNE,14668
